index,names,simplified_names
11,"['polycarbonate' 'polyester' 'polyester' 'polycarbonate' 'polycarbonate'
 'polycarbonate' 'polycarbonate' 'polycarbonate' 'polycarbonate']",polycarbonate
12,"['HDPE' 'acrylonitrile butadiene styrene' 'algae desmarestia viridis'
 'ethylene vinyl alcohol' 'poly(vinyl alcohol)' 'poly(vinyl alcohol)'
 'fibre polyvinyl alcohol' 'vinylidene chloride acrylonitrile']",poly(vinyl alcohol)
13,"['polyesterurethane' 'polyesterurethane' 'polyetherurethane'
 'polyetherurethane' 'polyurethane' 'polyurethane' 'polyurethane'
 'Polyether urethane with additives']",polyurethane
14,['HDPE' 'HDPE' 'HDPE' 'HDPE' 'PET' 'PET' 'PET'],unresolved polyethylene
15,"['polyvinylchloride' 'poly(vinyl chloride)'
 'poly(vinyl chloride) carboxylated' 'polyisoprene chlorinated'
 'polyvinylchloride with plasticizer' 'vinylidene chloride vinyl chloride'
 'polyvinylchloride']",polyvinyl chloride
16,['coal' 'coal' 'coal' 'coal' 'coal' 'coal'],coal
17,"['acrylonitrile butadiene' 'nitrile rubber' 'styrene butadiene'
 'polu butadiene acrylonitrile']",acrylonitrile butadiene
18,"['n vinylpyrrolidone vinyl acetate' 'polyvinylpyrrolidone'
 'nitrocellulose' 'Nitrocellulose']",nitrocellulose
19,"['poly(ethylene glycol)' 'poly(ethylene oxide)' 'polyacetal'
 'polyoxymethylene']",poly(ethylene glycol)
20,['silica gel lab' 'quartz sand lab' 'quartz sand beach'],silica
21,['polylactic acid' 'polylactic acid' 'fibre polyactide'],polylactic acid
22,['poly(p phenylene ether sulphone)' 'polysulfone' 'polyphenylsulfone'],polysulfone
23,['poly(vinyl butyral)' 'polychloroprene' 'polyethylene chlorosulfonated'],polychloroprene
24,['chitin cancer pagurus' 'Plumbers tape sealing putty'],chitin
25,['aramid' 'aramid'],aramid
26,"['phenoxy resin' ""poly(4 4' dipropoxy 2 2' diphenyl propane fumarate)""]",phenoxy resin
27,['poly(vinylidene fluoride)' 'fibre polyvinylidene fluoride'],polyvinylidene fluoride
28,['polyacrylamide' 'polyacrylamide carboxyl modified'],polyacrylamide
29,['1 2 polybutadiene'],polybutadiene
30,['poly(2 4 6 tribromostyrene)'],poly(2 4 6 tribromostyrene)
31,['poly(2 6 dimethyl p phenylene oxide)'],poly(2 6 dimethyl p phenylene oxide)
32,['poly(phenylene sulfide)'],poly(phenylene sulfide)
33,['fibre polyetheretherketone'],polyetheretherketone
